Fat%,Height,Neck,Chest,Waist
14.3,1696,375,911,727
31.5,1821,382,1065,912
38.5,1714,403,1050,1078
10.2,1714,368,993,777
20,1695,390,1007,852
16.7,1723,366,992,828
12.6,1706,335,862,643
19.9,1780,353,913,775
26.2,1761,404,989,893
22.9,1672,343,875,769
31.9,1775,435,1107,995
29.7,1765,400,1050,932
20.7,1755,383,1020,860
22.9,1727,350,880,834
32.8,1749,387,1070,975
22.7,1744,380,912,752
22.9,1725,400,1063,871
10.5,1835,380,990,780
12.9,1728,365,950,756
17.5,1715,374,876,765
12.2,1679,364,864,690
17.8,1670,370,920,825
29.5,1688,390,1005,970
22,1717,390,974,900
8.2,1805,350,997,742
21.8,1664,365,950,836
27.6,1695,427,1045,980
23.1,1710,382,1038,875
20.8,1698,370,975,810
8.4,1803,388,995,788
29.5,1727,430,1036,1065
23.9,1777,385,1027,860
24.1,1751,370,960,870
24.7,1809,365,946,862
16,1712,332,788,640
18.3,1681,380,1074,856
18.3,1665,355,915,750
22.4,1698,395,976,881
23,1789,400,965,876
11.3,1637,354,913,747
30.5,1825,370,955,885
11.6,1811,364,905,730
23.7,1718,394,984,960
28.9,1690,414,1031,910
22,1686,380,912,825
18,1681,385,946,822
24.2,1776,387,975,884
23.6,1660,375,1009,920
24.7,1785,370,1030,830
16.8,1819,380,956,816
29.4,1568,360,943,903
15,1733,358,924,726
17.8,1780,342,900,733
23.3,1675,380,970,832
19.6,1640,365,920,760
15.7,1850,417,1014,956
